Date,Price,Open,High,Low,Vol.,Change %
28-Apr-21,"54,841.40","55,036.00","56,419.90","53,876.40",86.96K,-0.35%
29-Apr-21,"53,560.80","54,838.60","55,173.70","52,400.00",83.90K,-2.34%
30-Apr-21,"57,720.30","53,562.30","57,925.60","53,088.70",103.74K,7.77%
1-May-21,"57,807.10","57,719.10","58,449.40","57,029.50",63.41K,0.15%
2-May-21,"56,603.80","57,807.20","57,868.40","56,110.50",53.61K,-2.08%
3-May-21,"57,169.80","56,605.80","58,925.10","56,562.40",89.24K,1.00%
4-May-21,"53,741.50","57,170.60","57,201.30","53,741.50",132.33K,-6.00%
5-May-21,"57,441.30","53,872.50","57,936.40","53,872.50",119.82K,6.88%
6-May-21,"56,405.40","57,441.00","58,364.90","55,294.50",109.02K,-1.80%
7-May-21,"57,337.20","56,411.40","58,639.30","55,300.10",110.01K,1.65%
8-May-21,"58,840.10","57,330.30","59,471.10","56,972.20",101.27K,2.62%
9-May-21,"58,238.30","58,840.60","59,227.00","56,414.40",103.59K,-1.02%
10-May-21,"55,848.90","58,251.20","59,523.90","53,678.30",142.61K,-4.10%
11-May-21,"56,695.70","55,846.10","56,871.10","54,550.40",96.47K,1.52%
12-May-21,"49,384.20","56,694.50","57,938.50","49,187.00",160.74K,-12.90%
13-May-21,"49,704.60","49,398.20","51,337.30","46,331.10",236.71K,0.65%
14-May-21,"49,839.80","49,704.90","51,459.20","48,874.00",118.84K,0.27%
15-May-21,"46,708.80","49,839.10","50,640.90","46,650.20",131.91K,-6.28%
16-May-21,"46,426.40","46,729.30","49,764.30","43,920.80",180.07K,-0.60%
17-May-21,"43,541.30","46,424.20","46,545.40","42,201.50",274.76K,-6.21%
18-May-21,"42,897.30","43,538.50","45,770.90","42,293.90",154.96K,-1.48%
19-May-21,"36,720.50","42,898.30","43,516.60","30,261.70",607.10K,-14.40%
20-May-21,"40,717.20","36,706.80","42,425.90","35,010.40",269.75K,10.88%
21-May-21,"37,297.40","40,611.20","42,108.30","33,592.30",315.50K,-8.40%
22-May-21,"37,448.30","37,291.00","38,776.00","35,314.90",185.83K,0.40%
23-May-21,"34,679.70","37,446.80","38,248.70","31,192.40",325.73K,-7.39%
24-May-21,"38,750.60","34,720.30","39,851.70","34,474.60",244.88K,11.74%
25-May-21,"38,378.30","38,753.60","39,740.80","36,540.70",163.01K,-0.96%
26-May-21,"39,249.20","38,375.70","40,750.00","37,847.00",153.80K,2.27%
27-May-21,"38,417.30","39,249.00","40,322.20","37,190.80",122.93K,-2.12%
28-May-21,"35,662.50","38,543.20","38,844.10","34,772.40",199.58K,-7.17%
29-May-21,"34,584.60","35,664.50","37,227.10","33,664.20",160.43K,-3.02%
30-May-21,"35,652.80","34,589.30","36,388.60","33,441.00",104.18K,3.09%
31-May-21,"37,298.60","35,644.00","37,480.70","34,213.20",131.70K,4.62%
1-Jun-21,"36,687.60","37,294.30","37,850.30","35,742.70",113.48K,-1.64%
2-Jun-21,"37,555.80","36,687.70","38,199.90","35,981.10",96.89K,2.37%
3-Jun-21,"39,187.30","37,555.70","39,462.30","37,193.60",106.44K,4.34%
4-Jun-21,"36,851.30","39,191.40","39,255.40","35,659.90",127.71K,-5.96%
5-Jun-21,"35,520.00","36,841.20","37,887.60","34,832.00",101.48K,-3.61%
6-Jun-21,"35,815.40","35,518.70","36,434.00","35,265.30",62.20K,0.83%
7-Jun-21,"33,578.00","35,815.40","36,754.60","33,410.10",119.50K,-6.25%
8-Jun-21,"33,382.90","33,574.60","34,047.80","31,158.10",193.54K,-0.58%
9-Jun-21,"37,332.20","33,385.50","37,517.60","32,428.60",209.82K,11.83%
10-Jun-21,"36,649.40","37,375.20","38,340.80","35,824.00",154.32K,-1.83%
11-Jun-21,"37,314.60","36,654.30","37,641.10","36,003.30",109.15K,1.81%
12-Jun-21,"35,467.50","37,334.40","37,437.30","34,703.30",87.73K,-4.95%
13-Jun-21,"39,022.90","35,467.50","39,321.60","34,827.00",123.32K,10.02%
